area_type,location,Area,bath,balcony,price,bhk,area_per_bhk
Super built-up  Area,other,1010.0,2.0,2.0,29.5,2,505.0
Super built-up  Area,Kalena Agrahara,1425.0,2.0,2.0,70.0,3,475.0
Super built-up  Area,Vijayanagar,1450.0,3.0,3.0,100.0,3,483.3333333333333
Super built-up  Area,Kothanur,1847.0,3.0,3.0,105.0,3,615.6666666666666
Super built-up  Area,AECS Layout,1100.0,2.0,2.0,45.0,2,550.0
Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1,525.0
Super built-up  Area,other,1665.0,3.0,3.0,95.0,3,555.0
Super built-up  Area,Begur,1664.0,4.0,4.0,65.0,4,416.0
Super built-up  Area,JP Nagar,1850.0,3.0,3.0,150.0,3,616.6666666666666
Super built-up  Area,Panathur,1438.0,2.0,2.0,100.0,2,719.0
Super built-up  Area,other,1560.0,3.0,3.0,115.0,3,520.0
Super built-up  Area,Kanakpura Road,1550.0,3.0,3.0,67.0,3,516.6666666666666
Super built-up  Area,Whitefield,1280.0,2.0,2.0,75.0,2,640.0
Super built-up  Area,other,1113.0,2.0,2.0,51.0,2,556.5
Super built-up  Area,Hennur Road,1385.0,2.0,2.0,83.09,2,692.5
Super built-up  Area,Electronic City,1128.0,2.0,2.0,65.0,2,564.0
Super built-up  Area,Haralur Road,1464.0,3.0,3.0,56.0,3,488.0
Super built-up  Area,other,1200.0,2.0,2.0,52.0,2,600.0
Super built-up  Area,Kaggalipura,1150.0,2.0,2.0,55.0,3,383.3333333333333
Built-up  Area,other,1645.0,3.0,3.0,95.0,3,548.3333333333334
Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,596.0
Super built-up  Area,Whitefield,1173.0,2.0,2.0,58.0,2,586.5
Built-up  Area,Uttarahalli,1020.0,2.0,2.0,45.0,2,510.0
Super built-up  Area,other,1250.0,2.0,2.0,40.0,2,625.0
Super built-up  Area,Kalena Agrahara,1325.0,2.0,2.0,76.0,2,662.5
Built-up  Area,7th Phase JP Nagar,1850.0,3.0,3.0,150.0,3,616.6666666666666
Super built-up  Area,Kanakpura Road,525.0,2.6926096474673513,2.6926096474673513,21.53,1,525.0
Super built-up  Area,Bommasandra,1260.0,3.0,3.0,49.36,3,420.0
Super built-up  Area,other,1800.0,3.0,3.0,150.0,3,600.0
Built-up  Area,Ardendale,1100.0,2.0,2.0,43.25,2,550.0
Super built-up  Area,Harlur,1508.0,2.0,2.0,77.0,2,754.0
Carpet  Area,other,1592.0,3.0,3.0,75.0,3,530.6666666666666
Super built-up  Area,Akshaya Nagar,1388.0,2.0,2.0,57.0,2,694.0
Super built-up  Area,Electronic City Phase II,630.0,1.0,1.0,28.35,1,630.0
Super built-up  Area,Magadi Road,1116.0,2.0,2.0,50.0,2,558.0
Super built-up  Area,other,1308.0,2.0,2.0,89.04,2,654.0
Super built-up  Area,Hennur,1075.0,2.0,2.0,52.0,2,537.5
Super built-up  Area,Chandapura,530.0,1.0,1.0,11.66,1,530.0
Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,537.5
Built-up  Area,KR Puram,930.0,2.0,2.0,39.0,2,465.0
Super built-up  Area,Balagere,1380.0,2.0,2.0,60.0,2,690.0
Built-up  Area,other,1166.0,2.0,2.0,55.0,2,583.0
Super built-up  Area,Bannerghatta Road,1050.0,2.0,2.0,65.0,2,525.0
Super built-up  Area,Begur Road,1200.0,2.0,2.0,46.8,2,600.0
Super built-up  Area,Lakshminarayana Pura,1600.0,2.0,2.0,108.0,3,533.3333333333334
Super built-up  Area,Billekahalli,1935.0,3.0,3.0,110.0,3,645.0
Super built-up  Area,8th Phase JP Nagar,451.0,1.0,1.0,29.9,1,451.0
Super built-up  Area,Electronic City,1800.0,3.0,3.0,95.0,3,600.0
Super built-up  Area,Jalahalli,1400.0,3.0,3.0,77.0,3,466.6666666666667
Super built-up  Area,Hegde Nagar,1801.0,3.0,3.0,115.0,3,600.3333333333334
Built-up  Area,Mahadevpura,1451.0,2.0,2.0,90.0,2,725.5
Super built-up  Area,Begur Road,1160.0,2.0,2.0,44.0,2,580.0
Super built-up  Area,Kanakpura Road,950.0,2.0,2.0,40.0,2,475.0
Super built-up  Area,Vijayanagar,1826.0,3.0,3.0,121.0,3,608.6666666666666
Built-up  Area,7th Phase JP Nagar,1245.0,2.0,2.0,94.0,2,622.5
Super built-up  Area,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2,572.5
Super built-up  Area,other,825.0,2.0,2.0,33.0,2,412.5
Super built-up  Area,Yeshwanthpur,1693.0,3.0,3.0,108.0,3,564.3333333333334
Super built-up  Area,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2,556.635
Built-up  Area,other,1460.0,2.0,2.0,58.0,2,730.0
Built-up  Area,Doddathoguru,1050.0,2.0,2.0,32.0,2,525.0
Built-up  Area,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2,630.0
Built-up  Area,Hosur Road,1656.0,2.0,2.0,120.0,2,828.0
Super built-up  Area,Chandapura,1208.0,3.0,3.0,45.0,3,402.6666666666667
Super built-up  Area,Whitefield,1910.0,3.0,3.0,161.0,3,636.6666666666666
Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,2.0,82.0,2,587.5
Super built-up  Area,other,1185.0,2.0,2.0,38.0,2,592.5
Super built-up  Area,Kengeri,750.0,2.0,2.0,38.0,2,375.0
Super built-up  Area,Kanakpura Road,1550.0,3.0,3.0,64.5,3,516.6666666666666
Built-up  Area,other,1760.0,3.0,3.0,88.0,3,586.6666666666666
Super built-up  Area,Billekahalli,1125.0,2.0,2.0,62.0,2,562.5
Super built-up  Area,Budigere,1991.0,4.0,4.0,103.0,3,663.6666666666666
Super built-up  Area,Bommasandra,1060.0,2.0,2.0,26.5,2,530.0
Super built-up  Area,Ambalipura,1105.0,2.0,2.0,75.0,2,552.5
Built-up  Area,Hoodi,985.0,2.0,2.0,67.0,2,492.5
Super built-up  Area,Balagere,1590.0,3.0,3.0,79.0,3,530.0
Super built-up  Area,CV Raman Nagar,1120.0,2.0,2.0,55.0,2,560.0
Super built-up  Area,other,1069.0,2.0,2.0,55.0,2,534.5
Super built-up  Area,Marathahalli,1933.0,3.0,3.0,140.0,3,644.3333333333334
Built-up  Area,Hosur Road,1194.0,2.0,2.0,69.0,2,597.0
Super built-up  Area,Brookefield,1150.0,2.0,2.0,69.0,2,575.0
Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2,709.5
Super built-up  Area,other,1450.0,3.0,3.0,55.0,3,483.3333333333333
Super built-up  Area,other,1630.0,3.0,3.0,68.29,3,543.3333333333334
Super built-up  Area,Dasanapura,708.0,1.0,1.0,40.0,2,354.0
Super built-up  Area,Bellandur,1250.0,2.0,2.0,76.0,2,625.0
Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,2.0,95.0,3,466.6666666666667
Super built-up  Area,Ardendale,1750.0,3.0,3.0,100.0,3,583.3333333333334
Super built-up  Area,Vittasandra,1404.0,2.0,2.0,71.0,2,702.0
Super built-up  Area,Hoodi,1715.0,2.0,2.0,95.0,3,571.6666666666666
Built-up  Area,Electronic City,630.0,1.0,1.0,34.65,1,630.0
Super built-up  Area,Harlur,1752.12,3.0,3.0,135.0,3,584.04
Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,55.47,2,647.5
Super built-up  Area,Sarjapur  Road,1346.0,2.0,2.0,74.03,2,673.0
Super built-up  Area,Hormavu,1150.0,2.0,2.0,55.0,2,575.0
Super built-up  Area,Chandapura,1190.0,2.0,2.0,30.35,3,396.6666666666667
Super built-up  Area,AECS Layout,1620.0,3.0,3.0,98.0,3,540.0
Super built-up  Area,Electronic City Phase II,1220.0,2.0,2.0,35.23,3,406.6666666666667
Super built-up  Area,other,850.0,2.0,2.0,30.0,2,425.0
Super built-up  Area,other,1150.0,2.0,2.0,126.0,2,575.0
Super built-up  Area,Hebbal,1760.0,2.0,2.0,130.0,3,586.6666666666666
Super built-up  Area,other,900.0,2.0,2.0,40.0,2,450.0
Super built-up  Area,Whitefield,1130.0,2.0,2.0,42.16,2,565.0
Super built-up  Area,Koramangala,1320.0,2.0,2.0,165.0,2,660.0
Built-up  Area,other,1200.0,2.0,2.0,62.0,2,600.0
Super built-up  Area,Subramanyapura,929.0,2.0,2.0,50.17,2,464.5
Super built-up  Area,Hebbal Kempapura,1130.0,2.0,2.0,60.0,2,565.0
Super built-up  Area,other,1753.0,3.0,3.0,120.0,3,584.3333333333334
Super built-up  Area,Hoodi,1196.0,2.0,2.0,94.42,2,598.0
Built-up  Area,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2,575.0
Super built-up  Area,Electronic City,1128.0,2.0,2.0,63.0,2,564.0
Super built-up  Area,other,1000.0,2.0,2.0,53.0,2,500.0
Super built-up  Area,Yelahanka,1035.0,2.0,2.0,45.0,2,517.5
Super built-up  Area,Bisuvanahalli,1075.0,2.0,2.0,36.0,3,358.3333333333333
Super built-up  Area,Whitefield,1040.0,2.0,2.0,48.5,2,520.0
Super built-up  Area,Lingadheeranahalli,1511.0,3.0,3.0,95.0,3,503.6666666666667
Super built-up  Area,Hoodi,1545.0,3.0,3.0,68.75,3,515.0
Super built-up  Area,JP Nagar,1000.0,2.0,2.0,35.0,2,500.0
Super built-up  Area,Kambipura,883.0,2.0,2.0,45.0,2,441.5
Super built-up  Area,Sarjapur  Road,1195.0,2.0,2.0,70.0,2,597.5
Super built-up  Area,Vittasandra,1246.0,2.0,2.0,67.0,2,623.0
Super built-up  Area,other,1353.0,2.0,2.0,110.0,2,676.5
Super built-up  Area,Electronic City,1599.0,3.0,3.0,125.0,3,533.0
Super built-up  Area,Whitefield,1150.0,2.0,2.0,70.0,2,575.0
Super built-up  Area,KR Puram,1155.0,2.0,2.0,42.74,2,577.5
Built-up  Area,Rajiv Nagar,1867.0,3.0,3.0,160.0,3,622.3333333333334
Super built-up  Area,Ramagondanahalli,1251.0,2.0,2.0,47.0,2,625.5
Super built-up  Area,other,1028.0,2.0,2.0,45.5,2,514.0
Super built-up  Area,other,1222.0,2.0,2.0,45.0,2,611.0
Super built-up  Area,Bannerghatta Road,1170.0,2.0,2.0,66.0,3,390.0
Super built-up  Area,HSR Layout,1372.0,2.0,2.0,68.0,2,686.0
Super built-up  Area,Magadi Road,1282.0,2.0,2.0,49.0,3,427.3333333333333
Super built-up  Area,Kanakpura Road,1135.0,2.0,2.0,39.73,2,567.5
Built-up  Area,other,1325.0,2.0,2.0,90.0,3,441.6666666666667
Super built-up  Area,Electronic City,1599.0,3.0,3.0,99.0,3,533.0
Super built-up  Area,other,1600.0,2.0,2.0,50.0,3,533.3333333333334
Super built-up  Area,Hennur Road,1317.5,2.0,2.0,63.77,2,658.75
Super built-up  Area,Munnekollal,1102.0,2.0,2.0,53.67,2,551.0
Super built-up  Area,Yelahanka,1350.0,2.0,2.0,54.0,2,675.0
Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,27.25,1,525.0
Built-up  Area,Attibele,656.0,2.0,2.0,25.0,2,328.0
Super built-up  Area,other,1056.0,2.0,2.0,80.0,2,528.0
Super built-up  Area,Bannerghatta Road,595.0,1.0,1.0,33.32,1,595.0
Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,3.0,160.0,3,741.6666666666666
Super built-up  Area,Bommasandra,1126.0,2.0,2.0,28.15,2,563.0
Super built-up  Area,Electronics City Phase 1,1490.0,3.0,3.0,84.0,3,496.6666666666667
Super built-up  Area,Sarjapur  Road,1550.0,3.0,3.0,100.0,3,516.6666666666666
Super built-up  Area,Sarjapur  Road,2100.0,3.0,3.0,125.0,3,700.0
Super built-up  Area,Vittasandra,1404.0,2.0,2.0,69.3,2,702.0
Super built-up  Area,other,1305.0,2.0,2.0,58.7,3,435.0
Super built-up  Area,Marathahalli,1230.0,2.0,2.0,80.0,2,615.0
Super built-up  Area,Hormavu,715.0,1.0,1.0,46.0,1,715.0
Super built-up  Area,other,1578.0,3.0,3.0,180.0,3,526.0
Super built-up  Area,Jigani,1020.0,2.0,2.0,40.0,2,510.0
Super built-up  Area,Koramangala,1253.0,2.0,2.0,102.0,2,626.5
Super built-up  Area,other,1180.0,2.0,2.0,42.0,2,590.0
Super built-up  Area,Nehru Nagar,961.0,2.0,2.0,38.0,2,480.5
Super built-up  Area,Harlur,1709.0,3.0,3.0,150.0,3,569.6666666666666
Super built-up  Area,other,1260.0,2.0,2.0,45.0,2,630.0
Built-up  Area,other,1630.0,3.0,3.0,85.0,3,543.3333333333334
Super built-up  Area,Sarjapur  Road,1249.0,3.0,3.0,44.71,3,416.3333333333333
Super built-up  Area,Kalena Agrahara,1450.0,2.0,2.0,85.0,3,483.3333333333333
Built-up  Area,other,834.0,1.0,1.0,60.0,1,834.0
Built-up  Area,Gottigere,891.0,2.0,2.0,25.0,2,445.5
Super built-up  Area,Raja Rajeshwari Nagar,1133.0,2.0,2.0,49.07,2,566.5
Built-up  Area,Bisuvanahalli,1075.0,2.0,2.0,37.0,3,358.3333333333333
Super built-up  Area,Raja Rajeshwari Nagar,1090.0,2.0,2.0,42.0,2,545.0
Super built-up  Area,Hebbal,1920.0,3.0,3.0,134.0,3,640.0
Built-up  Area,other,1374.0,2.0,2.0,95.0,2,687.0
Super built-up  Area,Kanakapura,711.0,1.0,1.0,36.0,1,711.0
Super built-up  Area,Tumkur Road,1500.0,3.0,3.0,95.0,3,500.0
Super built-up  Area,Whitefield,1720.0,3.0,3.0,100.0,3,573.3333333333334
Super built-up  Area,Mysore Road,1200.0,2.0,2.0,85.0,2,600.0
Carpet  Area,other,1375.0,3.0,3.0,70.0,3,458.3333333333333
Super built-up  Area,Jalahalli,2250.0,3.0,3.0,160.0,3,750.0
Super built-up  Area,Bellandur,1000.0,2.0,2.0,50.0,2,500.0
Super built-up  Area,other,469.0,1.0,1.0,25.0,1,469.0
Super built-up  Area,Kambipura,883.0,2.0,2.0,29.0,2,441.5
Super built-up  Area,other,1820.0,2.0,2.0,86.0,3,606.6666666666666
Super built-up  Area,other,750.0,1.0,1.0,40.0,1,750.0
Super built-up  Area,Sarjapur,1128.0,2.0,2.0,60.0,2,564.0
Super built-up  Area,Hebbal,1500.0,3.0,3.0,150.0,3,500.0
Super built-up  Area,Kanakpura Road,1100.0,2.0,2.0,58.0,3,366.6666666666667
Super built-up  Area,Bommasandra,1200.0,3.0,3.0,46.0,3,400.0
Super built-up  Area,other,1641.0,3.0,3.0,66.0,3,547.0
Super built-up  Area,Raja Rajeshwari Nagar,1260.0,2.0,2.0,67.39,2,630.0
Super built-up  Area,Yelahanka,1132.5,2.0,2.0,48.13,2,566.25
Super built-up  Area,Yelahanka,1210.0,2.0,2.0,45.98,2,605.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,2.0,45.0,3,358.3333333333333
Built-up  Area,Thanisandra,1702.0,3.0,3.0,130.0,3,567.3333333333334
Super built-up  Area,Raja Rajeshwari Nagar,1141.0,2.0,2.0,38.55,2,570.5
Super built-up  Area,other,1875.0,3.0,3.0,165.0,3,625.0
Plot  Area,Brookefield,1200.0,3.0,3.0,140.0,3,400.0
